,company_name,job_title,experince,salary,staticurl
84,Sainapse,Business Analyst,1-3 Yrs,Not disclosed,https://www.naukri.com/sainapse-jobs-careers-123927567
85,Sakon,Analyst-Fulfilment,1-3 Yrs,Not disclosed,https://www.naukri.com/sakon-jobs-careers-126120
86,Scalereal Technologies,Business Analyst,2-5 Yrs,Not disclosed,https://www.naukri.com/scalereal-technologies-jobs-careers-5959176
87,Serigor,Business Analyst,2-7 Yrs,Not disclosed,https://www.naukri.com/serigor-jobs-careers-896454
88,Serigor,"Data Engineer (PYTHON, DBT, SQL)",2-6 Yrs,Not disclosed,https://www.naukri.com/serigor-jobs-careers-896454
89,Serigor,JUNIOR ETL / DATA ENGINEER (PDI),0-3 Yrs,Not disclosed,https://www.naukri.com/serigor-jobs-careers-896454
90,Serigor,Junior Data Engineer (Client-PDI),0-2 Yrs,Not disclosed,https://www.naukri.com/serigor-jobs-careers-896454
91,ShareChat,Data Analyst,0-2 Yrs,Not disclosed,https://www.naukri.com/sharechat-jobs-careers-3441136
92,Sheesha Finance,Dealflow Analyst,2-4 Yrs,Not disclosed,https://www.naukri.com/sheesha-finance-jobs-careers-123613059
93,Sheesha Finance,Scout Analyst,1-5 Yrs,Not disclosed,https://www.naukri.com/sheesha-finance-jobs-careers-123613059
94,Sheesha Finance,Tokenomics Analyst,2-4 Yrs,Not disclosed,https://www.naukri.com/sheesha-finance-jobs-careers-123613059
95,Slash Mark,Artificial Intelligence Internship,No fixed duration,Unpaid,https://www.naukri.com/slash-mark-jobs-careers-124468110
96,Slash Mark,Data Science Intern,No fixed duration,Unpaid,https://www.naukri.com/slash-mark-jobs-careers-124468110
97,Sledding Technologies,Data Engineer – Snowflake,2-6 Yrs,Not disclosed,https://www.naukri.com/sledding-technologies-jobs-careers-6105056
98,Sledding Technologies,Data Engineer/Analyst,1-3 Yrs,Not disclosed,https://www.naukri.com/sledding-technologies-jobs-careers-6105056
99,Slintel,Data Consultant,1-2 Yrs,Not disclosed,https://www.naukri.com/slintel-jobs-careers-4074778
100,Smollan Group,Data Analyst,2-4 Yrs,Not disclosed,https://www.naukri.com/hindustan-field-services-jobs-careers-587903
101,Societe Generale Global Solution Centre ,Analyst,1-4 Yrs,Not disclosed,https://www.naukri.com/societe-generale-global-solution-centre-jobs-careers-79113
102,Sphera Solutions,Regulatory Data Engineer,0-2 Yrs,Not disclosed,https://www.naukri.com/sphera-solutions-jobs-careers-4666922
103,Spring Health Water,Deal Desk Analyst,2-4 Yrs,Not disclosed,https://www.naukri.com/spring-health-water-jobs-careers-124713929
104,Tata Communications,Etl Developer,2-4 Yrs,Not disclosed,https://www.naukri.com/tata-communications-jobs-careers-961
105,Tech Tammina,Data Engineer,2-5 Yrs,Not disclosed,https://www.naukri.com/tech-tammina-jobs-careers-2701516
106,Tech9,Senior Data Engineer,2-5 Yrs,Not disclosed,https://www.naukri.com/tech9-jobs-careers-3655788
107,TechnoIdentity,Data Analyst,0-3 Yrs,Not disclosed,https://www.naukri.com/technoidentity-jobs-careers-757483
108,Thomson Reuters,Data Analyst  - Data Governance Enablement & Control,2-5 Yrs,Not disclosed,https://www.naukri.com/thomson-reuters-jobs-careers-2881
109,Tranzita Systems,Data Scientist cum Machine Learning Engineer,1-3 Yrs,3.5-6 Lacs PA,https://www.naukri.com/tranzita-systems-jobs-careers-3811854
